譜面テンプレート（Title）,,,,,
Title,Holiday!,,,,
BPM,120,,,,
Level,2,,,,
,,,,,
NotesNum,A,S,D,F,G
0,,,,,
1,,,,,
2,,,,,
3,,0,,,
4,,,,0,
5,,,,,
6,0,,,,
7,,,,,
8,,0,,,
9,,,,,
10,,,,,0
11,,,,,
12,,,0,,
13,,,,,
14,,0,,,
15,,,,0,
16,,,,,
17,,,,,
18,,,,,
19,,,,0,
20,,0,,,
21,,,,,
22,,,,,0
23,,,,,
24,,,,0,
25,,,,,
26,0,,,,
27,,,,,
28,,,0,,
29,,,,,
30,,,,0,
31,,0,,,
32,,,,,
33,,,,,
34,,,,,
35,,0,,,
36,,,,0,
37,,,,,
38,0,,,,
39,,,,,
40,,0,,,
41,,,,,
42,,,,,0
43,,,,,
44,,,0,,
45,,,,,
46,,0,,,
47,,,,0,
48,,,,,
49,,,,,
50,,,,,
51,,,,0,
52,,0,,,
53,,,,,
54,,,,,0
55,,,,,
56,,,,0,
57,,,,,
58,0,,,,
59,,,,,
60,,,0,,
61,,,,,
62,,,,0,
63,,0,,,
64,0,,,,
65,,,,,0
66,,,,,
67,,,,,
68,,0,,,
69,,,,0,
70,,,,,
71,,,,,
72,,,,,0
73,0,,,,
74,,,,,
75,,,,,
76,,,,0,
77,,0,,,
78,,,,,
79,,,,,
80,0,,,,
81,,,,,0
82,,,,,
83,,,,,
84,,0,,,
85,,,,0,
86,,,,,
87,,,,,
88,,,,,0
89,0,,,,
90,,,,,
91,,,,,
92,,,,0,
93,,0,,,
94,,,,,
95,,,,,
96,0,,,,
97,,,,,0
98,,,,,
99,,,,,
100,,0,,,
101,,,,0,
102,,,,,
103,,,,,
104,,,,,0
105,0,,,,
106,,,,,
107,,,,,
108,,,,0,
109,,0,,,
110,,,,,
111,,,,,
112,0,,,,
113,,,,,0
114,,,,,
115,,,,,
116,,0,,,
117,,,,0,
118,,,,,
119,,,,,
120,,,,,0
121,0,,,,
122,,,,,
123,,,,,
124,,,,0,
125,,0,,,
126,,,,,
127,,,,,
128,,,0,,
129,0,,,,
130,,,,,0
131,,0,,,
132,,,,0,
133,,,,,
134,,,,,
135,,,,,
136,,,,,
137,,,,,
138,,,,,
139,,,,,
140,,,,,
141,,,,,
142,,,,,
143,,,,,
144,,,,,
145,,,,,
146,,,,,
147,,,,,
148,,,,,
